	sentence	label
0	a light computer is preferable .	0
1	i need a fast computer .	2
2	the computer i want should startup fast , cool and quietly .	2
3	i want a computer with high speed and a tiny power adapter .	2
4	a computer which can quickly download stuff is which i need .	2
5	however , i want it to be light and have a small screen .	2
6	i also need large ssd and ram to store things .	2
7	it 's better if it has a built-in sd drive .	2
8	i also want it to be light and have a long battery life .	2
9	i also want it to have a precise trackpad , nvme slots and great usb-c charging .	3
10	hopefully the computer is fast and has tons of ports .	3
11	the keyboard should have nice clickness and the trackpad should be responsive .	3
12	a thin and light computer is preferable .	3
13	the computer should be light .	3
14	i also hope the sound output and the quality of image to be great .	3
15	i need a light and fast computer with a high-resolution screen .	3
16	it should also have long battery life .	3
17	the computer should also be fast and modulable .	3
18	good processor , good ram and good hard disk should be installed .	3
19	i need a light computer .	3
20	a nice packaging and good looking computer would be nice for me .	3
21	the computer should also run quietly .	3
22	the computer i will be using should be light and have thin edges .	3
23	the computer would be even better with a long battery life and a high performance-cost ratio .	3
24	i want a good-looking computer with an awesome keyboard .	3
25	i want a fast computer with a good shell .	3
26	the computer should have a long battery life and can be intergrated with my phone .	3
27	i need a computer that immdiately wakes when i use it .	3
28	it would be convenient if it does n't need a transfer of files .	3
29	hopefully there is no system administration or virus software needed .	3
30	i also want some good ports .	3
31	hopefully the computer is speedy and have a reasonable price .	3
32	i hope the computer would be secure to use , easy to use and simple to use .	3
33	the keys should be comfortable and the screen size should be acceptable .	3
34	i need a computer that can run my games fine and do editing .	3
35	second , the bluetooth connection and the ac wifi should be stable .	3
36	i need a computer with solid build quality and a reasonable price .	3
37	my dream computer is a powerful laptop .	3
38	i also want to access the internet in a faster way .	3
39	i need a big screen for my computer to make it easy to work .	3
40	i want a computer with a high performance-cost ratio , yet it should have efficient cooling and run quietly .	3
41	the ssd should be fast and the battery life should be long .	3
42	i need it to be quiet and have a great battery life also .	3
43	i need a powerful computer with solid speakers and good built quality .	3
44	the computer should have great build quality and specs , but also with a good price .	3
45	i hope the price would n't be too high for all the above features .	3
46	i need the computer to have high performance-cost ratio and low power consumption and heat .	3
47	i need a computer with great build quality .	3
48	i need a plain notebook without those flashy light but still keep a beautiful design .	3
49	it would be great if it runs cool and is functioned with great screen and touch sensor .	3
50	i need it to play games well at a low temperature and long battery life .	3
51	hopefully the build quality is premium .	3
52	i need the computer to keep cool when i am gaming .	3
53	the computer i need should have a high performance-cost ratio and be solidly constructed .	3
54	the temperature of the computer should be low while i am using it .	3
55	the computer should be light and have a good fingerprint scanner .	3
56	a good design and a cool keyboard should be applied to the computer .	3
57	a cool computer which can run fast is what i need .	3
58	i want to feel premium while using the computer .	3
59	i also expect a good ips panel .	3
60	hopefully there is a fast wifi connection and a high performance-cost ratio .	3
61	i want the computer to run smoothly .	3
62	i need the computer to be within reasonable price .	3
63	the computer should have both reasonable price and performance .	3
64	i want a computer that runs fast .	3
65	i want a high performance-cost ratio computer which can do fast start-up .	3
66	i want the computer to perform well in games and be perfect for upgraders .	3
67	i hope it goes with a high performance-cost ratio .	3
68	my desire computer should own a great keyboard and a powerful cooling system .	3
69	i need a good gaming laptop .	3
70	i need the computer to handle games well .	3
71	and last but not least , i need it to be quiet .	3
72	my computer should be fast and accessible , and should have a good graphic performance .	3
73	i want the design to be tasteful and minimalist .	3
74	i need the computer to have a clean resolution and audio .	3
75	for the design , i prefer a sleek and neutral one .	3
76	i need a sturdy computer with a beautiful screen and above-average sound quality .	3
77	i want it to look professional and have a good fingerprint scanner and trackpad .	3
78	the computer i will be using should have a high performance-cost ratio .	3
79	i need a cheap computer with solid build quality and awesome cooling system .	3
80	for the battery , i need it to be long enough to support my work .	3
81	i need a computer with impressing build .	3
82	i would like to have a computer with long battery life and can run fast and quietly .	3
83	a good screen is also what i wanted , and hopefully its performance-cost ratio is high .	3
84	i want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio .	3
85	i also need it to have a clear screen and a decent battery life .	3
86	seventh , i need a nice video card .	3
87	it should have the best cooling and runs silently .	3
88	i want a computer with great colour and viewing angles .	3
89	i want a computer with good screen and fast booting .	3
90	i want a computer with high performance-cost ratio .	3
91	i want a fast computer .	3
92	i want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting .	3
93	the keyboard would be better to be a back-lit red one and be comfy for typing .	3
94	first , it should have a nice screen .	3
95	i want a well-built computer .	3
96	third , i want to play games smoothly on it .	3
97	the computer i need is the one with high performance-cost ratio , while having good cooling and consistent performance .	3
98	the computer i need would be the one with strong gpu and hardware .	3
99	for the content , i want it to have a high expandability and can handle heavy duty work loads with a solid i/o options .	3
100	i need a good video card to go with my computer .	3
101	the build quality has to be awesome in my computer .	3
102	i need the computer to do well in gaming and editing , of course with a good price also .	3
103	i do n't want the computer to go overheat while performing the jobs .	3
104	the computer i want should run intense games perfectly and have a high performance-cost ratio .	3
105	i need a computer which has an excellent keyboard and a great screen , but also not too attractive to eyeballs .	3
106	i need a computer that can play games fast and smoothly .	3
107	i want a computer that stay in my budget .	3
108	i need a fast computer .	3
109	i want my future computer to have a high performance-cost ratio .	3
110	i need a computer with a good trackpad and battery life which can max out any games .	3
111	the keystokes on it should be comfortable to type on .	3
112	a reasonable price is what i consider when buying a new computer .	3
113	i want a computer with long battery life .	3
114	i need a laptop with good build .	3
115	the fps rates should be good as well as the wireless card .	3
116	i hope it is well built and durable .	3
117	i want a computer that have great specs and amazing cooling .	3
118	the keyboard should be easy to type on and i want good precision and gestures from the computer .	3
119	the computer i want should have high performance-cost ratio and a normal look .	3
120	fifth , i would need a nice keyboard and a nice trackpad in case i need to type at night .	3
121	i need the price to be reasonable and the battery life also .	3
122	i hope the price fit with its performance .	3
123	sixth , the computer should bootup fast .	3
124	i need a high performance-cost ratio computer .	3
125	the computer i need is the one which can be opened up and upgraded easily and have a good build quality .	3
126	i want it to be lightweight and have a high performance-cost ratio .	3
127	i need a computer with long battery life .	3
128	the computer i want should have a high performance-cost ratio and a comfortable ips panel .	3
129	a premium typing experience and a professional look are expected .	3
130	i want my future computer to have plenty of storage with a high performance-cost ratio .	3
131	i would need a good fps and a high performance-cost ratio .	3
132	i need the computer not to look gaudy , but to play games well .	3
133	the ssd should be good .	3
134	of course it should have a reasonable price .	3
135	for the price , i hope it wo n't be too high .	3
136	i also want the design and the price to be nice .	3
137	i want the computer to provide great performance with games and stay cool while playing .	3
138	i want a fast and responsive computer .	3
139	i have got a list of requirements for my desire computer .	3
140	i need a good functioning fan to be along with my computer .	3
141	i want a computer with nice performance-cost ratio .	3
142	fourth , the battery life should be long enough .	3
143	a nice cooling stand would be good for my computer .	3
144	it would be better if the speakers and fingerprint reader are in good situation .	3
145	i hope it will be portable .	3
146	i also want adequate ram to store my data .	3
147	the computer should boot up and connect to the wifi in a super fast way , but i do n't want the price to be too high and the diplay should be great also .	3
148	the computer should be light for me to carry it around .	3
149	hopefully the speakers are decent too .	3
150	i need a computer which can be opened as soon as possible and have strong wireless connection .	3
151	i need good keyboard , touchpad and fingerprint scanner .	3
152	i need a computer with a nice and sleek look and large space for my programmes .	3
153	i need a computer with cool extra hard drive that is fast and clear .	3
154	i want a quick laptop with amazing display .	3
155	i want the computer to boot up quick and last long for the battery .	3
156	i need a few criteria for my new computer .	3
157	i want a computer with high performance-cost ratio .	3
158	i need a light computer .	3
159	sixth , i need the computer to have a backlit keyboard which is quiet while typing .	3
160	i would also look into the design , which i hope it to be light , slim and attractive .	3
161	and i hope it runs fast on the programming .	3
162	i need a thin computer with an appealing design and a light weight .	3
163	i need a fast computer .	3
164	i need a computer with a high performance-cost ratio and a large memory .	3
