	sentence	label
0	i want a compact computer which can do fast browsing .	2
1	a computer which can quickly download stuff is which i need .	7
2	i also want it to be light and have a long battery life .	7
3	i need a fast computer .	7
4	however , i want it to be light and have a small screen .	7
5	the computer i want should startup fast , cool and quietly .	7
6	it 's better if it has a built-in sd drive .	7
7	i want a computer with high speed and a tiny power adapter .	7
8	i also need large ssd and ram to store things .	7
9	i also want it to have a precise trackpad , nvme slots and great usb-c charging .	3
10	a nice packaging and good looking computer would be nice for me .	3
11	i also hope the sound output and the quality of image to be great .	3
12	the computer should be light .	3
13	i want a light laptop which can startup fast .	3
14	a thin and light computer is preferable .	3
15	the keyboard should have nice clickness and the trackpad should be responsive .	3
16	i want a good-looking computer with an awesome keyboard .	3
17	the computer should also be fast and modulable .	3
18	the computer i will be using should be light and have thin edges .	3
19	i want a light computer but it should have a large screen .	3
20	it should also have long battery life .	3
21	the computer would be even better with a long battery life and a high performance-cost ratio .	3
22	hopefully the computer is fast and has tons of ports .	3
23	i need a light and fast computer with a high-resolution screen .	3
24	i need a light computer .	3
25	i hope the computer would be secure to use , easy to use and simple to use .	2
26	i also want some good ports .	2
27	a reasonable battery life is also expected .	2
28	it would be better if it allows others to borrow my computer but not my account .	2
29	it would be convenient if it does n't need a transfer of files .	2
30	hopefully the computer is speedy and have a reasonable price .	2
31	the keys should be comfortable and the screen size should be acceptable .	2
32	hopefully there is no system administration or virus software needed .	2
33	i need a computer that immdiately wakes when i use it .	2
34	i want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting .	0
35	i need a computer with high performance-cost ratio .	0
36	the computer i want should have excellent thermals and graphics .	0
37	the computer i need is the one which can be opened up and upgraded easily and have a good build quality .	0
38	fourth , the battery life should be long enough .	0
39	the computer should have great build quality and specs , but also with a good price .	0
40	the computer i want should handle my games with ease and run super fast .	0
41	it would be better if the speakers and fingerprint reader are in good situation .	0
42	the fps rates should be good as well as the wireless card .	0
43	i want it to be lightweight and have a high performance-cost ratio .	0
44	i would need a good fps and a high performance-cost ratio .	0
45	i need a computer with great build quality .	0
46	the build quality has to be awesome in my computer .	0
47	i need a computer that runs silently with a good battery life , also it should stay within my budget .	0
48	the computer should be light and have a good fingerprint scanner .	0
49	for the content , i want it to have a high expandability and can handle heavy duty work loads with a solid i/o options .	0
50	i need the computer to do well in gaming and editing , of course with a good price also .	0
51	i want a computer that have great specs and amazing cooling .	0
52	second , the bluetooth connection and the ac wifi should be stable .	0
53	i need a computer which has an excellent keyboard and a great screen , but also not too attractive to eyeballs .	0
54	i want the design to be tasteful and minimalist .	0
55	i need the computer to have high performance-cost ratio and low power consumption and heat .	0
56	for the battery , i need it to be long enough to support my work .	0
57	the ssd should be good .	0
58	the temperature of the computer should be low while i am using it .	0
59	i want a well-built computer .	0
60	i need a high performance-cost ratio computer .	0
61	of course it should have a reasonable price .	0
62	a good screen is also what i wanted , and hopefully its performance-cost ratio is high .	0
63	my computer should be fast and accessible , and should have a good graphic performance .	0
64	i want a computer with great colour and viewing angles .	0
65	i want it to look professional and have a good fingerprint scanner and trackpad .	0
