	sentence	label
0	a light computer is preferable .	6
1	the computer i want should startup fast , cool and quietly .	2
2	it 's better if it has a built-in sd drive .	2
3	a high performance-cost ratio is also expected .	2
4	however , i want it to be light and have a small screen .	2
5	i want a computer with high speed and a tiny power adapter .	2
6	a computer which can quickly download stuff is which i need .	2
7	i also want it to be light and have a long battery life .	2
8	i need a fast computer .	2
9	i need a light computer .	0
10	the computer should also be fast and modulable .	0
11	the computer should also run quietly .	0
12	hopefully the computer is fast and has tons of ports .	0
13	a nice packaging and good looking computer would be nice for me .	0
14	the keyboard should have nice clickness and the trackpad should be responsive .	0
15	it should also have long battery life .	0
16	i want a light laptop which can startup fast .	0
17	i want a good-looking computer with an awesome keyboard .	0
18	i also want it to have a precise trackpad , nvme slots and great usb-c charging .	0
19	i also hope the sound output and the quality of image to be great .	0
20	i need a light and fast computer with a high-resolution screen .	0
21	the computer would be even better with a long battery life and a high performance-cost ratio .	0
22	a thin and light computer is preferable .	0
23	the computer should be light .	0
24	i want a light computer but it should have a large screen .	0
25	i need a computer that immdiately wakes when i use it .	1
26	a reasonable battery life is also expected .	1
27	it would be convenient if it does n't need a transfer of files .	1
28	it would be better if it allows others to borrow my computer but not my account .	1
29	hopefully there is no system administration or virus software needed .	1
30	i also want some good ports .	1
31	the keys should be comfortable and the screen size should be acceptable .	1
32	the computer should have a long battery life and can be intergrated with my phone .	1
33	hopefully the computer is speedy and have a reasonable price .	1
34	i want a computer with nice performance-cost ratio .	2
35	i need a computer with a good trackpad and battery life which can max out any games .	2
36	for the price , i hope it wo n't be too high .	2
37	i also need it to have a clear screen and a decent battery life .	2
38	i want a well-built computer .	2
39	fourth , the battery life should be long enough .	2
40	i hope it goes with a high performance-cost ratio .	2
41	the computer i want should run intense games perfectly and have a high performance-cost ratio .	2
42	my computer should be fast and accessible , and should have a good graphic performance .	2
43	i need the computer to have a clean resolution and audio .	2
44	the keystokes on it should be comfortable to type on .	2
45	for the design , i prefer a sleek and neutral one .	2
46	i want the computer to perform well in games and be perfect for upgraders .	2
47	i would need the battery life to be long enough , so i could type at night with a led lit keyboard .	2
48	a nice cooling stand would be good for my computer .	2
49	i need a high performance-cost ratio computer .	2
50	it would be great if it runs cool and is functioned with great screen and touch sensor .	2
51	the computer should have both reasonable price and performance .	2
52	the computer should have great build quality and specs , but also with a good price .	2
53	i want a computer with high performance-cost ratio .	2
54	i need a computer with solid build quality and a reasonable price .	2
55	i have some criteria for my dream computer .	2
56	i need a good video card to go with my computer .	2
57	the build quality has to be awesome in my computer .	2
58	third , i want to play games smoothly on it .	2
59	i want a computer that stay in my budget .	2
60	i need a cheap computer with solid build quality and awesome cooling system .	2
61	i need a computer that runs silently with a good battery life , also it should stay within my budget .	2
62	for the hardware , i need a great display panel , a sturdy keyboard with great typing experience and keys with red leds as the backlit .	2
63	i hope the price would n't be too high for all the above features .	2
64	hopefully there is a fast wifi connection and a high performance-cost ratio .	2
65	of course it should have a reasonable price .	2
66	i need the computer to handle games well .	2
67	the fps rates should be good as well as the wireless card .	2
68	i want a computer that have great specs and amazing cooling .	2
69	the keyboard would be better with red backlit .	2
70	for the content , i want it to have a high expandability and can handle heavy duty work loads with a solid i/o options .	2
71	i need a fast computer .	2
72	i want a fast and responsive computer .	2
73	i also want to access the internet in a faster way .	2
74	i want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting .	2
75	i want a computer that is able to run games at a high-ultra setting without getting too hot .	2
76	i need a sturdy computer with a beautiful screen and above-average sound quality .	2
77	i need the computer to do well in gaming and editing , of course with a good price also .	2
78	i need the computer to be within reasonable price .	2
79	and i hope the battery life would be long enough .	2
80	i need it to be quiet and have a great battery life also .	2
81	for the battery , i need it to be long enough to support my work .	2
82	i want the computer to run smoothly .	2
83	the keyboard should be easy to type on and i want good precision and gestures from the computer .	2
84	i want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio .	2
85	i need a computer that can run my games fine and do editing .	2
86	the computer i want should have excellent thermals and graphics .	2
87	i need the computer to perform great in gaming .	2
88	i would need a good fps and a high performance-cost ratio .	2
89	i want a computer with good screen and fast booting .	2
90	i want to feel premium while using the computer .	2
91	i want my future computer to have plenty of storage with a high performance-cost ratio .	2
92	the computer i will be using should have a high performance-cost ratio .	2
93	i need a computer with high performance-cost ratio .	2
94	a good design and a cool keyboard should be applied to the computer .	2
95	the ssd should be good .	2
96	i need the computer not to look gaudy , but to play games well .	2
97	i need the computer to keep cool when i am gaming .	2
98	it would be better if the speakers and fingerprint reader are in good situation .	2
99	i want a fast computer .	2
100	i want a computer with long battery life .	2
101	i want a computer with great colour and viewing angles .	2
102	i need a big screen for my computer to make it easy to work .	2
103	my desire computer should own a great keyboard and a powerful cooling system .	2
104	i want the computer to provide great performance with games and stay cool while playing .	2
105	a good screen is also what i wanted , and hopefully its performance-cost ratio is high .	2
106	and last but not least , i need it to be quiet .	2
107	i need a laptop with good build .	2
108	i want a computer with a high performance-cost ratio , yet it should have efficient cooling and run quietly .	2
109	the keyboard would be better to be a back-lit red one and be comfy for typing .	2
110	i need a computer with impressing build .	2
111	for the size , it should be a small and light computer .	2
112	the temperature of the computer should be low while i am using it .	2
113	i want a computer that runs fast .	2
114	i need a computer which has an excellent keyboard and a great screen , but also not too attractive to eyeballs .	2
115	a cool computer which can run fast is what i need .	2
116	i need a good functioning fan to be along with my computer .	2
117	i want it to look professional and have a good fingerprint scanner and trackpad .	2
118	the computer should be light and have a good fingerprint scanner .	2
119	i want it to be lightweight and have a high performance-cost ratio .	2
120	my dream computer is a powerful laptop .	2
121	fifth , i would need a nice keyboard and a nice trackpad in case i need to type at night .	2
122	i need a computer with long battery life .	2
123	the computer i need is the one with high performance-cost ratio , while having good cooling and consistent performance .	2
124	the computer i need is the one which can be opened up and upgraded easily and have a good build quality .	2
125	i need a powerful computer with solid speakers and good built quality .	2
126	i need the computer to have high performance-cost ratio and low power consumption and heat .	2
127	a reasonable price is what i consider when buying a new computer .	2
128	the ssd should be fast and the battery life should be long .	2
129	second , the bluetooth connection and the ac wifi should be stable .	2
130	i also want the design and the price to be nice .	2
131	i need a computer with great build quality .	2
132	i want the design to be tasteful and minimalist .	2
133	it would be nice if it is silent when light use .	2
134	i want a high performance-cost ratio computer which can do fast start-up .	2
135	first , it should have a nice screen .	2
136	i need a plain notebook without those flashy light but still keep a beautiful design .	2
137	the computer i want should handle my games with ease and run super fast .	2
138	sixth , the computer should bootup fast .	2
139	i hope the price fit with its performance .	2
140	the computer i want should have a high performance-cost ratio and a comfortable ips panel .	2
141	it should have the best cooling and runs silently .	2
142	a premium typing experience and a professional look are expected .	2
143	seventh , i need a nice video card .	2
144	i have got a list of requirements for my desire computer .	2
145	third , i need the colours to look vivid on the screen .	7
146	i need to store my work so i need a decent cpu .	7
147	the computer should boot up and connect to the wifi in a super fast way , but i do n't want the price to be too high and the diplay should be great also .	7
148	i do n't want the keyboard to be too fancy though .	7
149	first , i need a sturdy but light lid .	7
150	i need the screen to be nice and big while maintaining a light weight .	7
151	the computer should start up quickly with impressive specs .	7
152	i need a light computer .	7
153	i need a fast computer .	7
154	i want a fast and light computer .	7
155	i want the computer to stay within a reasonable price range , having a sensible fingerprint sensor and large amount of storage .	7
156	hopefully the speakers are decent too .	7
157	i need good keyboard , touchpad and fingerprint scanner .	7
158	i need a light computer which can turn on fast and run cool .	7
159	i need a quick and responsive computer .	7
160	i need the computer to boot up fast .	7
161	i need a computer with a nice and sleek look and large space for my programmes .	7
162	i want it to be light and have a thin screen so i can carry it around .	7
163	i hope it will be portable .	7
164	i need it to perform well in running small applications and programming .	7
165	i also need some really good hard drive .	7
166	fifth , i need the computer to have a decent battery life .	7
167	the screen would be better if it has vibrant resolution .	7
168	i want a computer that bring up my application quickly and i can work on a large screen with sharp imaging .	7
169	the battery life should be reasonable for a laptop .	7
170	i need a computer with a high performance-cost ratio and a large memory .	7
171	the computer should be light .	7
172	i need a fast computer in both typing responsiveness and log in time .	7
173	i want a computer with high performance-cost ratio .	7
174	i need a computer with a reasonable price .	7
175	second , i need a good selection of ports .	7
176	i need a computer with great screen .	7
177	seventh , i want the fan noise to be manageable .	7
178	for the keyboard , it would be better if it is back-lit .	7
179	i need a good looking computer which stays within my budget .	7
180	i need a eye-catching display and a satisfying backlit keyboard for the computer .	7
181	the screen and touch pad should be great for my computer .	7
182	i need good storage capabilities to store my things and good speakers for gaming .	7
183	sixth , i need the computer to have a backlit keyboard which is quiet while typing .	7
184	i need a fast computer .	7
185	i need to take it to my class so it 's better to be small and have a good screen to work with .	7
186	i want the design to be sleek .	7
187	i also need good bluetooth connection to the other devices .	7
188	i want a quick laptop with amazing display .	7
189	i need a few criteria for my new computer .	7
190	of course , it should run fast for me to use .	7
191	i want it to have a high performance-cost ratio .	7
192	i also want adequate ram to store my data .	7
193	the computer should be slim , light and looking good .	7
194	fourth , i need the viewing angles to be decent .	7
195	and i hope it runs fast on the programming .	7
196	i would also look into the design , which i hope it to be light , slim and attractive .	7
197	i want a light computer which can runs fast .	7
198	i hope the keyboard is light-up and easy-to-type .	7
199	the computer should have a light but large enough screen accomplished with speed .	7
200	i need a computer which is fast and light .	7
201	for the weight , i prefer a light one .	7
202	i want the computer to be light enough for me to carry it around .	7
203	i need a thin computer with an appealing design and a light weight .	7
204	i need to have plenty of ports on the computer .	7
205	the computer should be light for me to carry it around .	7
206	i want the computer to boot up quick and last long for the battery .	7
207	last but not least , i want the bluetooth connection to be as fast as it can be .	7
208	i need a fast laptop with good configuration .	7
209	i need a good ssd and hdd combination for speed and power .	7
210	i want a quick computer with reasonable price .	7
211	i love computer with great design .	7
212	i need the screen to be great enough but not affecting the weight .	7
213	i like a traditional layout .	7
214	i need a computer which can be opened as soon as possible and have strong wireless connection .	7
215	i want a fast computer with a nice fingerprint scanner to accelerate .	7
216	i need a well-built computer which is light and sleek so i can carry it around .	7
217	i want a light computer with a backlit keyboard and a clear bright screen .	7
218	the system should run fast for me and made me feel that is well made .	7
219	i would like to have distinct buttons on the touch pad .	7
220	i want a good build quality with powerful and clear sound output .	7
221	it would be prefect with incredible rainbow backlight .	7
222	i need to set up the computer with no difficulty , and the computer should run my games smoothly with generating too much heat .	7
223	4. i need good cpu , good gpu and fast ssd .	7
224	i need great monitor and cool keyboard for my computer .	7
225	i hope the computer can configure to better wifi channels automatically .	7
226	i need a computer with a high performance-cost ratio .	7
227	5. i need the computer to handle a large amount of data .	7
228	sixth , for the screen , i need to have great colour display on it with a good refresh rate .	7
229	seventh , it would be better if the dvd drive is removable to install something else .	7
230	the screen should be enourmous and clear .	7
231	the screen should have good viewing angles and good adjustment of brightness .	7
232	the keyboard should be fantastic and the touchpad should be smooth .	7
233	i want a computer that can do fast startup .	7
234	i need a few things to be noted with my computer .	7
235	2. i want the keyboard to be awesome with prefect resistence and spacing of keys .	7
236	i need a high performance-cost ratio to come with my computer .	7
237	sixth , the speakers have to be good .	7
238	i need a computer with an illuminated keyboard .	7
239	i need a computer to go fast and easy with my games .	7
240	i also need a nice keyboard and a good ips monitor .	7
241	fifth , i need to connect to the wifi in a super fast way .	7
242	the touch pad and keys should be smooth .	7
243	i need some really good screen , speakers and keyboard for my computer .	7
244	i hope the computer can connect well with oth devices .	7
245	fourth , i need the fans to spin quietly .	7
246	i need easy access slots to do expansion and good usb 3.0 ports layout to make things tidy .	7
247	finally , i hope there is a decent price for all of these .	7
248	i need a computer to run all my games in the highest settings .	7
249	the screen should also have great refresh rate and display vivid colour .	7
250	i need a computer that can run anything on ultra settings while staying super cool .	7
251	i want a fast computer with a beautiful look .	7
252	i want the computer to play games well while keeping a low temperature .	7
253	i need a decently sized trackpad and a bright lcd screen .	7
254	i also need plenty of storage , by the way , i hope the storage can be easily expanded because i do n't know if i still need more .	7
255	i need a decent ssd and good cooling for my computer so it can play games well .	7
256	i need a fantastic monitor to come with it .	7
257	i also need a good set of usb ports and extra fan .	7
258	fifth , the location of the fans should be considerate .	7
259	i also need the material and build to be great , not to forget about the cpu and gpu .	7
260	i would also need great build quality to come with it .	7
261	the battery life should be long .	7
262	3. i need tons of light settings for myself .	7
263	the sound system should be great for me .	7
264	i need the computer to have good build quality but with a reasonable price .	7
265	i have high expectation of the screen , in which it should have good clarity and quality , also it should be bright and vibrant .	7
266	i do n't want the keys to be noisy .	7
267	i have got a few requirement for my computer : 1 .	7
268	hopefully , the computer can run cool with these settings .	7
269	the size should be fit for its size .	7
270	3 ) i need a satifying click on the keyboard coming with a good trackpad and good buttons .	7
271	the computer should run cool and quietly .	7
272	i hope the price wo n't be too high for it to cover all these features .	7
273	last but not least , a good sound output is preferrable .	7
274	5 ) i need good build quality and a nice cool temperature .	7
275	i also want the keyboard to be nice .	7
276	i want a computer with high performance-cost ratio .	7
277	a beautiful screen should be installed .	7
278	the computer should run fast for playing my games prefectly .	7
279	i need a computer with good build quality , great sound and excellent screen .	7
280	i need a sollid computer .	7
281	a computer that stays cool while gaming is what i need .	7
282	i would need a clean os to come with it as i do n't want too much bloatware .	7
283	the gaming laptop should obviously perform well in gaming .	7
284	i need the display to look good when i am gaming smoothly .	7
285	the laptop should stay within my budget .	7
286	i do n't want to have much bloatware on it and i hope the set up is easy for me .	7
287	a fast and solidly built computer is what i need .	7
288	2 ) the ssd should be nicely sized .	7
289	i need the laptop to stay cool and be solid and reliable .	7
290	a nice keyboard with nice backlight is preferable .	7
291	i like to have soft touch plastic attached to the laptop .	7
292	i need the computer to start up fast so i can run my games smoothly .	7
293	second , i need some great software and a solid build .	7
294	third , i need the keyboard to be comfortable , responsive and lighted .	7
295	i want a solid computer .	7
296	i need the computer to run games without causing problems and quietly .	7
297	i need some good speakers to come with it .	7
298	i do n't want the computer to run at high temperature nor with loud noise .	7
