	sentence	label
0	a light computer is preferable .	0
1	it 's better if it has a built-in sd drive .	2
2	i also want it to be light and have a long battery life .	2
3	a computer which can quickly download stuff is which i need .	2
4	i need a fast computer .	2
5	the computer i want should startup fast , cool and quietly .	2
6	i want a computer with high speed and a tiny power adapter .	2
7	i also need large ssd and ram to store things .	2
8	however , i want it to be light and have a small screen .	2
9	the computer should also be fast and modulable .	2
10	a nice packaging and good looking computer would be nice for me .	2
11	the computer should be light .	2
12	the keyboard should have nice clickness and the trackpad should be responsive .	2
13	the computer i will be using should be light and have thin edges .	2
14	i need a light and fast computer with a high-resolution screen .	2
15	a thin and light computer is preferable .	2
16	i also hope the sound output and the quality of image to be great .	2
17	i also want it to have a precise trackpad , nvme slots and great usb-c charging .	2
18	i need a light computer .	2
19	i want a good-looking computer with an awesome keyboard .	2
20	good processor , good ram and good hard disk should be installed .	2
21	hopefully the computer is fast and has tons of ports .	2
22	the computer should also run quietly .	2
23	i want a light computer but it should have a large screen .	2
24	it should also have long battery life .	2
25	it would be better if it allows others to borrow my computer but not my account .	0
26	hopefully the computer is speedy and have a reasonable price .	0
27	i need a computer that immdiately wakes when i use it .	0
28	the computer should have a long battery life and can be intergrated with my phone .	0
29	hopefully there is no system administration or virus software needed .	0
30	i hope the computer would be secure to use , easy to use and simple to use .	0
31	a reasonable battery life is also expected .	0
32	i also want some good ports .	0
33	the keys should be comfortable and the screen size should be acceptable .	0
34	i need a computer with impressing build .	2
35	i need it to play games well at a low temperature and long battery life .	2
36	i want it to be lightweight and have a high performance-cost ratio .	2
37	i want a computer that is able to run games at a high-ultra setting without getting too hot .	2
38	my dream computer is a powerful laptop .	2
39	the computer should have both reasonable price and performance .	2
40	for the price , i hope it wo n't be too high .	2
41	i need the computer to keep cool when i am gaming .	2
42	the ssd should be fast and the battery life should be long .	2
43	i want a computer with great colour and viewing angles .	2
44	i need a big screen for my computer to make it easy to work .	2
45	i want the computer to be quiet and stay cool while playing games with a high perfomance-cost ratio .	2
46	i need the computer to be within reasonable price .	2
47	i need a computer that can run my games fine and do editing .	2
48	i hope it is well built and durable .	2
49	i want a computer that have great specs and amazing cooling .	2
50	i need a plain notebook without those flashy light but still keep a beautiful design .	2
51	i also want to access the internet in a faster way .	2
52	i want a computer with high performance-cost ratio .	2
53	the computer i want should handle my games with ease and run super fast .	2
54	i want a high performance-cost ratio computer which can do fast start-up .	2
55	for the design , i prefer a sleek and neutral one .	2
56	i need it to be quiet and have a great battery life also .	2
57	i need a sturdy computer with a beautiful screen and above-average sound quality .	2
58	a good screen is also what i wanted , and hopefully its performance-cost ratio is high .	2
59	i need the computer to have a clean resolution and audio .	2
60	i want a fast computer .	2
61	my computer should be fast and accessible , and should have a good graphic performance .	2
62	i want a computer with good screen and fast booting .	2
63	first , it should have a nice screen .	2
64	seventh , i need a nice video card .	2
65	i need the computer to perform great in gaming .	2
66	i want my future computer to have a high performance-cost ratio .	2
67	i also expect a good ips panel .	2
68	i want it to look professional and have a good fingerprint scanner and trackpad .	2
69	i need a laptop with good build .	2
70	the computer i want should run intense games perfectly and have a high performance-cost ratio .	2
71	i need a computer that can play games fast and smoothly .	2
72	i need a good video card to go with my computer .	2
73	second , the bluetooth connection and the ac wifi should be stable .	2
74	the keystokes on it should be comfortable to type on .	2
75	for the content , i want it to have a high expandability and can handle heavy duty work loads with a solid i/o options .	2
76	the computer i want should have excellent thermals and graphics .	2
77	the keyboard would be better to be a back-lit red one and be comfy for typing .	2
78	the computer i will be using should have a high performance-cost ratio .	2
79	i have some criteria for my dream computer .	2
80	i want the computer to provide great performance with games and stay cool while playing .	2
81	the computer should be light and have a good fingerprint scanner .	2
82	sixth , the computer should bootup fast .	2
83	it would be nice if it is silent when light use .	2
84	i need a computer with long battery life .	2
85	it would be better if the speakers and fingerprint reader are in good situation .	2
86	i need a good functioning fan to be along with my computer .	2
87	i want a computer with nice performance-cost ratio .	2
88	and last but not least , i need it to be quiet .	2
89	the computer i need is the one with high performance-cost ratio , while having good cooling and consistent performance .	2
90	i want the design to be tasteful and minimalist .	2
91	i need the computer not to look gaudy , but to play games well .	2
92	i have got a list of requirements for my desire computer .	2
93	i want a computer with long battery life .	2
94	a nice cooling stand would be good for my computer .	2
95	i need a computer with a good trackpad and battery life which can max out any games .	2
96	hopefully the build quality is premium .	2
97	fourth , the battery life should be long enough .	2
98	a reasonable price is what i consider when buying a new computer .	2
99	i need a computer with solid build quality and a reasonable price .	2
100	the computer i want should have high performance-cost ratio and a normal look .	2
101	i would need the battery life to be long enough , so i could type at night with a led lit keyboard .	2
102	i need a computer with high performance-cost ratio .	2
103	the keyboard would be better with red backlit .	2
104	the keyboard should be easy to type on and i want good precision and gestures from the computer .	2
105	the temperature of the computer should be low while i am using it .	2
106	i need a computer which has an excellent keyboard and a great screen , but also not too attractive to eyeballs .	2
107	i want the computer to perform well in games and be perfect for upgraders .	2
108	for the size , it should be a small and light computer .	2
109	the fps rates should be good as well as the wireless card .	2
110	i want my future computer to have plenty of storage with a high performance-cost ratio .	2
111	i need a powerful computer with solid speakers and good built quality .	2
112	i need a fast computer .	2
113	for the hardware , i need a great display panel , a sturdy keyboard with great typing experience and keys with red leds as the backlit .	2
114	i want a high performance-cost ratio computer with a good fingerprint scanner and good keyboard backlighting .	2
115	i would need a good fps and a high performance-cost ratio .	2
116	third , i want to play games smoothly on it .	2
117	i need the computer to have high performance-cost ratio and low power consumption and heat .	2
118	hopefully there is a fast wifi connection and a high performance-cost ratio .	2
119	i want a well-built computer .	2
120	i also need it to have a clear screen and a decent battery life .	2
121	the computer i need is the one which can be opened up and upgraded easily and have a good build quality .	2
122	i hope it goes with a high performance-cost ratio .	2
123	it should have the best cooling and runs silently .	2
124	the computer i want should have a high performance-cost ratio and a comfortable ips panel .	2
125	i hope the price would n't be too high for all the above features .	2
126	i need a good gaming laptop .	2
127	and i hope the battery life would be long enough .	2
128	fifth , i would need a nice keyboard and a nice trackpad in case i need to type at night .	2
129	i need a cheap computer with solid build quality and awesome cooling system .	2
130	i need the computer to do well in gaming and editing , of course with a good price also .	2
131	i need a computer with great build quality .	2
132	the build quality has to be awesome in my computer .	2
133	i do n't want the computer to go overheat while performing the jobs .	2
134	my desire computer should own a great keyboard and a powerful cooling system .	2
135	i need a high performance-cost ratio computer .	2
136	i also want the design and the price to be nice .	2
137	the computer i need would be the one with strong gpu and hardware .	2
138	the computer should have great build quality and specs , but also with a good price .	2
139	it would be great if it runs cool and is functioned with great screen and touch sensor .	2
140	for the battery , i need it to be long enough to support my work .	2
141	i want a fast and responsive computer .	2
142	i need the computer to handle games well .	2
143	i need a computer that runs silently with a good battery life , also it should stay within my budget .	2
144	i want the computer to run smoothly .	2
145	i need a light computer which can turn on fast and run cool .	2
146	i do n't want the keyboard to be too fancy though .	2
147	second , i need a good selection of ports .	2
148	i need the computer to boot up fast .	2
149	i need it to perform well in running small applications and programming .	2
150	i need a good looking computer which stays within my budget .	2
151	i need a computer with a high performance-cost ratio and a large memory .	2
152	i need a fast laptop with good configuration .	2
153	i need to have plenty of ports on the computer .	2
154	i also need some really good hard drive .	2
155	i need a computer which is fast and light .	2
156	sixth , i need the computer to have a backlit keyboard which is quiet while typing .	2
157	the computer should boot up and connect to the wifi in a super fast way , but i do n't want the price to be too high and the diplay should be great also .	2
158	first , i need a sturdy but light lid .	2
159	i hope the keyboard is light-up and easy-to-type .	2
160	i need a good ssd and hdd combination for speed and power .	2
161	i want it to be light and have a thin screen so i can carry it around .	2
162	i want the design to be sleek .	2
163	i need a computer with great screen .	2
164	i want a light computer which can runs fast .	2
165	i need the track pad to be functional and i should type fast and accurately on the keyboard .	2
166	third , i need the colours to look vivid on the screen .	2
167	fifth , i need the computer to have a decent battery life .	2
168	i need a computer with cool extra hard drive that is fast and clear .	2
169	i need good keyboard , touchpad and fingerprint scanner .	2
170	i want a computer that bring up my application quickly and i can work on a large screen with sharp imaging .	2
171	hopefully the speakers are decent too .	2
172	fourth , i need the viewing angles to be decent .	2
173	i need a computer that is light and start up fast .	2
174	the computer should start up quickly with impressive specs .	2
175	i want a fast computer with a nice fingerprint scanner to accelerate .	2
176	i need a light computer that runs fast .	2
177	the computer should be light for me to carry it around .	2
178	i need a quick and responsive computer .	2
179	the screen would be better if it has vibrant resolution .	2
180	the usb port access should be great .	2
181	i also need to have a decent battery life to get my work done .	2
182	i love computer with great design .	2
183	i also want adequate ram to store my data .	2
184	i want the computer to boot up quick and last long for the battery .	2
185	i want a quick computer with reasonable price .	2
186	i need a eye-catching display and a satisfying backlit keyboard for the computer .	2
187	i need a computer which can be opened as soon as possible and have strong wireless connection .	2
188	for the weight , i prefer a light one .	2
189	i want a light computer with a backlit keyboard and a clear bright screen .	2
190	i need to have a good screen with it .	2
191	and i hope it runs fast on the programming .	2
192	i need the screen to be nice and big while maintaining a light weight .	2
193	i need a fast computer .	2
194	i need to store my work so i need a decent cpu .	2
195	i need the screen to be great enough but not affecting the weight .	2
196	i want a fast and light computer .	2
197	i need a light computer .	2
198	the battery life should be reasonable for a laptop .	2
199	i need a thin computer with an appealing design and a light weight .	2
200	the computer should be light .	2
201	and for the battery life , i prefer a longer one .	2
202	i would also look into the design , which i hope it to be light , slim and attractive .	2
203	the computer should have a light but large enough screen accomplished with speed .	2
204	i want the computer to stay within a reasonable price range , having a sensible fingerprint sensor and large amount of storage .	2
205	i need good storage capabilities to store my things and good speakers for gaming .	2
206	i need to take it to my class so it 's better to be small and have a good screen to work with .	2
207	i need a computer with a nice and sleek look and large space for my programmes .	2
208	i want a quick laptop with amazing display .	2
209	of course , it should run fast for me to use .	2
210	seventh , i want the fan noise to be manageable .	2
211	i want a computer with high performance-cost ratio .	2
212	i need a fast computer .	2
213	i want the computer to be light enough for me to carry it around .	2
214	last but not least , i want the bluetooth connection to be as fast as it can be .	2
215	i hope it will be portable .	2
216	i need a few criteria for my new computer .	2
217	for the keyboard , it would be better if it is back-lit .	2
218	i need the computer to start up fast so i can run my games smoothly .	5
219	i also hope the battery life to be long to support my work .	5
220	the battery life should be long .	5
221	third , i need the keyboard to be comfortable , responsive and lighted .	5
222	sixth , for the screen , i need to have great colour display on it with a good refresh rate .	5
223	i like to have soft touch plastic attached to the laptop .	5
224	i also need plenty of storage , by the way , i hope the storage can be easily expanded because i do n't know if i still need more .	5
225	seventh , it would be better if the dvd drive is removable to install something else .	5
226	i want the computer to play games well while keeping a low temperature .	5
